YearWeek,ExcludedCases,PendingCases,ConfirmedCases,AverageTemperature,lag_1,lag_2,lag_3,Year,Week
201004,29,0,10,16.943759223010712,7.0,7.0,16.0,2010,4
201005,23,0,7,15.193485780746911,10.0,7.0,7.0,2010,5
201006,16,0,5,15.200411987388632,7.0,10.0,7.0,2010,6
201007,21,0,1,17.020671548712766,5.0,7.0,10.0,2010,7
201008,21,0,1,16.215803251225847,1.0,5.0,7.0,2010,8
201009,12,0,3,14.985803925005548,1.0,1.0,5.0,2010,9
201010,10,0,1,16.004748143394025,3.0,1.0,1.0,2010,10
201011,11,0,4,15.00568019586316,1.0,3.0,1.0,2010,11
201012,8,0,2,15.01027792397293,4.0,1.0,3.0,2010,12
201013,7,0,0,15.724879737976783,2.0,4.0,1.0,2010,13
201014,4,0,4,13.576547010620512,0.0,2.0,4.0,2010,14
201015,6,0,1,13.771819211632842,4.0,0.0,2.0,2010,15
201016,8,0,4,14.941359303772463,1.0,4.0,0.0,2010,16
201017,10,0,6,14.497725501546574,4.0,1.0,4.0,2010,17
201018,6,0,15,15.831713743343837,6.0,4.0,1.0,2010,18
201019,14,0,11,14.616352124094911,15.0,6.0,4.0,2010,19
201020,15,0,16,14.118982287148391,11.0,15.0,6.0,2010,20
201021,5,0,12,17.003844546272802,16.0,11.0,15.0,2010,21
201022,7,0,12,15.319329265732277,12.0,16.0,11.0,2010,22
201023,8,0,10,15.619543559774296,12.0,12.0,16.0,2010,23
201024,7,0,9,14.13417695774048,10.0,12.0,12.0,2010,24
201025,12,0,15,15.021452208296314,9.0,10.0,12.0,2010,25
201026,13,0,29,15.683667311398924,15.0,9.0,10.0,2010,26
201027,20,0,21,14.42866093313432,29.0,15.0,9.0,2010,27
201028,18,0,18,15.962262317769856,21.0,29.0,15.0,2010,28
201029,18,0,40,14.99283539837294,18.0,21.0,29.0,2010,29
201030,24,0,29,15.308690127366033,40.0,18.0,21.0,2010,30
201031,32,0,60,15.005587053797475,29.0,40.0,18.0,2010,31
201032,28,0,58,17.46648163940337,60.0,29.0,40.0,2010,32
201033,38,0,56,15.607616019024062,58.0,60.0,29.0,2010,33
201034,32,0,46,14.570312103673658,56.0,58.0,60.0,2010,34
